"time, h","Cs, g/L"
0.081743869,36.03588907
0.844686649,35.88907015
1.716621253,35.20391517
2.534059946,35.54649266
3.569482289,35.05709625
4.550408719,34.17618271
5.53133515,32.8548124
6.621253406,32.56117455
7.493188011,31.28874388
8.63760218,28.89070147
9.564032698,25.954323
10.65395095,24.48613377
12.01634877,22.92006525
12.9972752,21.84339315
14.14168937,20.03262643
15.17711172,19.05383361
20.95367847,11.71288744
22.09809264,10.39151713
24.49591281,8.091353997
26.1852861,7.112561175
28.09264305,6.182707993
29.45504087,5.840130506
30.54495913,5.057096248
32.23433243,4.469820555
34.08719346,4.323001631
34.6866485,3.980424144
37.19346049,2.707993475
38.11989101,2.756933116
39.15531335,2.756933116
48.58310627,1.337683524
49.72752044,1.288743883
50.81743869,1.141924959
